car_name,cylinders,displacement,horsepower,weight,accelleration,model_year,origin,mpg
chevrolet chevelle malibu,8,307,130,3504,12,1970,North America,18
buick skylark 320,8,350,165,3693,11.5,1970,North America,15
plymouth satellite,8,318,150,3436,11,1970,North America,18
amc rebel sst,8,304,150,3433,12,1970,North America,16
ford torino,8,302,140,3449,10.5,1970,North America,17
ford galaxie 500,8,429,198,4341,10,1970,North America,15
chevrolet impala,8,454,220,4354,9,1970,North America,14
plymouth fury iii,8,440,215,4312,8.5,1970,North America,14
pontiac catalina,8,455,225,4425,10,1970,North America,14
amc ambassador dpl,8,390,190,3850,8.5,1970,North America,15
dodge challenger se,8,383,170,3563,10,1970,North America,15
plymouth 'cuda 340,8,340,160,3609,8,1970,North America,14
chevrolet monte carlo,8,400,150,3761,9.5,1970,North America,15
buick estate wagon (sw),8,455,225,3086,10,1970,North America,14
toyota corona mark ii,4,113,95,2372,15,1970,Asia,24
plymouth duster,6,198,95,2833,15.5,1970,North America,22
amc hornet,6,199,97,2774,15.5,1970,North America,18
ford maverick,6,200,85,2587,16,1970,North America,21
datsun pl510,4,97,88,2130,14.5,1970,Asia,27
volkswagen 1131 deluxe sedan,4,97,46,1835,20.5,1970,Europe,26
peugeot 504,4,110,87,2672,17.5,1970,Europe,25
audi 100 ls,4,107,90,2430,14.5,1970,Europe,24
saab 99e,4,104,95,2375,17.5,1970,Europe,25
bmw 2002,4,121,113,2234,12.5,1970,Europe,26
amc gremlin,6,199,90,2648,15,1970,North America,21
ford f250,8,360,215,4615,14,1970,North America,10
chevy c20,8,307,200,4376,15,1970,North America,10
dodge d200,8,318,210,4382,13.5,1970,North America,11
hi 1200d,8,304,193,4732,18.5,1970,North America,9
datsun pl510,4,97,88,2130,14.5,1971,Asia,27
chevrolet vega 2300,4,140,90,2264,15.5,1971,North America,28
toyota corona,4,113,95,2228,14,1971,Asia,25
ford pinto,4,98,,2046,19,1971,North America,25
amc gremlin,6,232,100,2634,13,1971,North America,19
plymouth satellite custom,6,225,105,3439,15.5,1971,North America,16
chevrolet chevelle malibu,6,250,100,3329,15.5,1971,North America,17
ford torino 500,6,250,88,3302,15.5,1971,North America,19
amc matador,6,232,100,3288,15.5,1971,North America,18
chevrolet impala,8,350,165,4209,12,1971,North America,14
pontiac catalina brougham,8,400,175,4464,11.5,1971,North America,14
ford galaxie 500,8,351,153,4154,13.5,1971,North America,14
plymouth fury iii,8,318,150,4096,13,1971,North America,14
dodge monaco (sw),8,383,180,4955,11.5,1971,North America,12
ford country squire (sw),8,400,170,4746,12,1971,North America,13
pontiac safari (sw),8,400,175,5140,12,1971,North America,13
amc hornet sportabout (sw),6,258,110,2962,13.5,1971,North America,18
chevrolet vega (sw),4,140,72,2408,19,1971,North America,22
pontiac firebird,6,250,100,3282,15,1971,North America,19
ford mustang,6,250,88,3139,14.5,1971,North America,18
mercury capri 2000,4,122,86,2220,14,1971,North America,23
opel 1900,4,116,90,2123,14,1971,Europe,28
peugeot 304,4,79,70,2074,19.5,1971,Europe,30
fiat 124b,4,88,76,2065,14.5,1971,Europe,30
toyota corolla 1200,4,71,65,1773,19,1971,Asia,31
datsun 1200,4,72,69,1613,18,1971,Asia,35
volkswagen model 111,4,97,60,1834,19,1971,Europe,27
plymouth cricket,4,91,70,1955,20.5,1971,North America,26
toyota corona hardtop,4,113,95,2278,15.5,1972,Asia,24
dodge colt hardtop,4,97.5,80,2126,17,1972,North America,25
volkswagen type 3,4,97,54,2254,23.5,1972,Europe,23
chevrolet vega,4,140,90,2408,19.5,1972,North America,20
ford pinto runabout,4,122,86,2226,16.5,1972,North America,21
chevrolet impala,8,350,165,4274,12,1972,North America,13
pontiac catalina,8,400,175,4385,12,1972,North America,14
plymouth fury iii,8,318,150,4135,13.5,1972,North America,15
ford galaxie 500,8,351,153,4129,13,1972,North America,14
amc ambassador sst,8,304,150,3672,11.5,1972,North America,17
mercury marquis,8,429,208,4633,11,1972,North America,11
buick lesabre custom,8,350,155,4502,13.5,1972,North America,13
oldsmobile delta 88 royale,8,350,160,4456,13.5,1972,North America,12
chrysler newport royal,8,400,190,4422,12.5,1972,North America,13
mazda rx2 coupe,3,70,97,2330,13.5,1972,Asia,19
amc matador (sw),8,304,150,3892,12.5,1972,North America,15
chevrolet chevelle concours (sw),8,307,130,4098,14,1972,North America,13
ford gran torino (sw),8,302,140,4294,16,1972,North America,13
plymouth satellite custom (sw),8,318,150,4077,14,1972,North America,14
volvo 145e (sw),4,121,112,2933,14.5,1972,Europe,18
volkswagen 411 (sw),4,121,76,2511,18,1972,Europe,22
peugeot 504 (sw),4,120,87,2979,19.5,1972,Europe,21
renault 12 (sw),4,96,69,2189,18,1972,Europe,26
ford pinto (sw),4,122,86,2395,16,1972,North America,22
datsun 510 (sw),4,97,92,2288,17,1972,Asia,28
toyouta corona mark ii (sw),4,120,97,2506,14.5,1972,Asia,23
dodge colt (sw),4,98,80,2164,15,1972,North America,28
toyota corolla 1600 (sw),4,97,88,2100,16.5,1972,Asia,27
buick century 350,8,350,175,4100,13,1973,North America,13
amc matador,8,304,150,3672,11.5,1973,North America,14
chevrolet malibu,8,350,145,3988,13,1973,North America,13
ford gran torino,8,302,137,4042,14.5,1973,North America,14
dodge coronet custom,8,318,150,3777,12.5,1973,North America,15
mercury marquis brougham,8,429,198,4952,11.5,1973,North America,12
chevrolet caprice classic,8,400,150,4464,12,1973,North America,13
ford ltd,8,351,158,4363,13,1973,North America,13
plymouth fury gran sedan,8,318,150,4237,14.5,1973,North America,14
chrysler new yorker brougham,8,440,215,4735,11,1973,North America,13
buick electra 225 custom,8,455,225,4951,11,1973,North America,12
amc ambassador brougham,8,360,175,3821,11,1973,North America,13
plymouth valiant,6,225,105,3121,16.5,1973,North America,18
chevrolet nova custom,6,250,100,3278,18,1973,North America,16
amc hornet,6,232,100,2945,16,1973,North America,18
ford maverick,6,250,88,3021,16.5,1973,North America,18
plymouth duster,6,198,95,2904,16,1973,North America,23
volkswagen super beetle,4,97,46,1950,21,1973,Europe,26
chevrolet impala,8,400,150,4997,14,1973,North America,11
ford country,8,400,167,4906,12.5,1973,North America,12
plymouth custom suburb,8,360,170,4654,13,1973,North America,13
oldsmobile vista cruiser,8,350,180,4499,12.5,1973,North America,12
amc gremlin,6,232,100,2789,15,1973,North America,18
toyota carina,4,97,88,2279,19,1973,Asia,20
chevrolet vega,4,140,72,2401,19.5,1973,North America,21
datsun 610,4,108,94,2379,16.5,1973,Asia,22
maxda rx3,3,70,90,2124,13.5,1973,Asia,18
ford pinto,4,122,85,2310,18.5,1973,North America,19
mercury capri v6,6,155,107,2472,14,1973,North America,21
fiat 124 sport coupe,4,98,90,2265,15.5,1973,Europe,26
chevrolet monte carlo s,8,350,145,4082,13,1973,North America,15
pontiac grand prix,8,400,230,4278,9.5,1973,North America,16
fiat 128,4,68,49,1867,19.5,1973,Europe,29
opel manta,4,116,75,2158,15.5,1973,Europe,24
audi 100ls,4,114,91,2582,14,1973,Europe,20
volvo 144ea,4,121,112,2868,15.5,1973,Europe,19
dodge dart custom,8,318,150,3399,11,1973,North America,15
saab 99le,4,121,110,2660,14,1973,Europe,24
toyota mark ii,6,156,122,2807,13.5,1973,Asia,20
oldsmobile omega,8,350,180,3664,11,1973,North America,11
plymouth duster,6,198,95,3102,16.5,1974,North America,20
ford maverick,6,200,,2875,17,1974,North America,21
amc hornet,6,232,100,2901,16,1974,North America,19
chevrolet nova,6,250,100,3336,17,1974,North America,15
datsun b210,4,79,67,1950,19,1974,Asia,31
ford pinto,4,122,80,2451,16.5,1974,North America,26
toyota corolla 1200,4,71,65,1836,21,1974,Asia,32
chevrolet vega,4,140,75,2542,17,1974,North America,25
chevrolet chevelle malibu classic,6,250,100,3781,17,1974,North America,16
amc matador,6,258,110,3632,18,1974,North America,16
plymouth satellite sebring,6,225,105,3613,16.5,1974,North America,18
ford gran torino,8,302,140,4141,14,1974,North America,16
buick century luxus (sw),8,350,150,4699,14.5,1974,North America,13
dodge coronet custom (sw),8,318,150,4457,13.5,1974,North America,14
ford gran torino (sw),8,302,140,4638,16,1974,North America,14
amc matador (sw),8,304,150,4257,15.5,1974,North America,14
audi fox,4,98,83,2219,16.5,1974,Europe,29
volkswagen dasher,4,79,67,1963,15.5,1974,Europe,26
opel manta,4,97,78,2300,14.5,1974,Europe,26
toyota corona,4,76,52,1649,16.5,1974,Asia,31
datsun 710,4,83,61,2003,19,1974,Asia,32
dodge colt,4,90,75,2125,14.5,1974,North America,28
fiat 128,4,90,75,2108,15.5,1974,Europe,24
fiat 124 tc,4,116,75,2246,14,1974,Europe,26
honda civic,4,120,97,2489,15,1974,Asia,24
subaru,4,108,93,2391,15.5,1974,Asia,26
fiat x1.9,4,79,67,2000,16,1974,Europe,31
plymouth valiant custom,6,225,95,3264,16,1975,North America,19
chevrolet nova,6,250,105,3459,16,1975,North America,18
mercury monarch,6,250,72,3432,21,1975,North America,15
ford maverick,6,250,72,3158,19.5,1975,North America,15
pontiac catalina,8,400,170,4668,11.5,1975,North America,16
chevrolet bel air,8,350,145,4440,14,1975,North America,15
plymouth grand fury,8,318,150,4498,14.5,1975,North America,16
